order_id,order_date,region,channel,product_category,product,quantity,unit_price,total_price,customer_id
ORD-00103,2025-06-04,EU,In-Store,Clothing,Jacket,4,134.16,536.64,CUST-0004
ORD-00104,2025-03-06,LATAM,Online,Electronics,Laptop,9,1125.17,10126.53,CUST-0164
ORD-00105,2025-08-14,EU,Online,Electronics,Smartwatch,5,317.06,1585.30,CUST-0088
ORD-00106,2025-07-25,NA,Mobile,Home,Cookware Set,2,175.46,350.92,CUST-0126
ORD-00107,2025-06-05,EU,Online,Electronics,Headphones,3,196.80,590.40,CUST-0022
ORD-00108,2025-11-13,LATAM,In-Store,Books,Textbook,10,87.45,874.50,CUST-0058
ORD-00109,2025-06-06,NA,Mobile,Sports,Running Shoes,10,149.11,1491.10,CUST-0146
ORD-00110,2025-02-11,EU,Online,Electronics,Headphones,4,167.29,669.16,CUST-0041
ORD-00111,2025-08-19,LATAM,In-Store,Books,Fiction Novel,3,15.31,45.93,CUST-0177
ORD-00112,2025-12-26,LATAM,Online,Electronics,Headphones,5,191.18,955.90,CUST-0221
ORD-00113,2025-04-12,NA,Mobile,Clothing,Jacket,10,146.77,1467.70,CUST-0109
ORD-00114,2025-02-06,EU,In-Store,Clothing,Jeans,5,71.37,356.85,CUST-0016
ORD-00115,2025-08-28,APAC,Mobile,Books,Children's Book,5,14.73,73.65,CUST-0177
ORD-00116,2025-08-13,NA,In-Store,Sports,Running Shoes,9,131.56,1184.04,CUST-0021
ORD-00117,2025-04-28,NA,Mobile,Home,Lamp,5,38.60,193.00,CUST-0247
ORD-00118,2025-03-31,LATAM,In-Store,Home,Lamp,1,48.55,48.55,CUST-0121
ORD-00119,2025-09-09,NA,In-Store,Clothing,Dress,7,114.45,801.15,CUST-0249
ORD-00120,2025-02-23,EU,In-Store,Home,Cookware Set,6,151.41,908.46,CUST-0220
ORD-00121,2025-07-25,NA,In-Store,Sports,Bicycle,5,681.70,3408.50,CUST-0209
ORD-00122,2025-07-26,NA,Mobile,Electronics,Smartphone,5,804.93,4024.65,CUST-0222
ORD-00123,2025-09-23,LATAM,Mobile,Books,Textbook,7,73.63,515.41,CUST-0093
ORD-00124,2025-03-09,APAC,In-Store,Sports,Yoga Mat,4,37.20,148.80,CUST-0238
ORD-00125,2025-11-08,EU,Mobile,Sports,Yoga Mat,1,45.68,45.68,CUST-0205
ORD-00126,2025-07-28,EU,Online,Clothing,Jacket,9,119.57,1076.13,CUST-0024
ORD-00127,2025-05-30,APAC,In-Store,Sports,Yoga Mat,3,39.98,119.94,CUST-0131
ORD-00128,2025-03-16,EU,Mobile,Sports,Bicycle,4,641.57,2566.28,CUST-0099
ORD-00129,2025-08-01,APAC,Online,Books,Cookbook,2,27.99,55.98,CUST-0088
ORD-00130,2025-12-04,EU,In-Store,Home,Bed Linen,10,76.80,768.00,CUST-0126
ORD-00131,2025-10-06,LATAM,In-Store,Books,Textbook,6,80.73,484.38,CUST-0097
ORD-00132,2025-07-30,APAC,Mobile,Clothing,Jeans,10,62.72,627.20,CUST-0012
ORD-00133,2025-11-30,LATAM,Online,Sports,Bicycle,7,745.24,5216.68,CUST-0039
ORD-00134,2025-02-21,LATAM,Online,Clothing,Dress,10,104.46,1044.60,CUST-0224
ORD-00135,2025-07-29,EU,Online,Books,Textbook,1,90.67,90.67,CUST-0223
ORD-00136,2025-07-23,NA,In-Store,Sports,Running Shoes,6,134.81,808.86,CUST-0167
ORD-00137,2025-09-07,NA,Mobile,Books,Textbook,6,88.23,529.38,CUST-0224
ORD-00138,2025-02-16,NA,Mobile,Electronics,Headphones,5,206.86,1034.30,CUST-0112
ORD-00139,2025-01-15,APAC,Online,Electronics,Tablet,3,529.10,1587.30,CUST-0012
ORD-00140,2025-05-06,LATAM,Mobile,Home,Bed Linen,6,73.44,440.64,CUST-0136
ORD-00141,2025-07-15,EU,In-Store,Clothing,Jeans,3,56.79,170.37,CUST-0159
ORD-00142,2025-05-11,APAC,Mobile,Books,Cookbook,4,29.65,118.60,CUST-0118
ORD-00143,2025-03-22,LATAM,In-Store,Electronics,Tablet,5,526.64,2633.20,CUST-0019
ORD-00144,2025-08-22,APAC,Online,Books,Biography,7,25.37,177.59,CUST-0217
ORD-00145,2025-10-20,APAC,Mobile,Sports,Bicycle,2,598.76,1197.52,CUST-0092
ORD-00146,2025-10-17,NA,Mobile,Home,Coffee Maker,7,83.91,587.37,CUST-0222
ORD-00147,2025-06-30,EU,Mobile,Sports,Running Shoes,4,134.18,536.72,CUST-0057
ORD-00148,2025-11-27,APAC,In-Store,Home,Vacuum,2,246.62,493.24,CUST-0011
ORD-00149,2025-02-16,APAC,In-Store,Electronics,Smartwatch,6,342.31,2053.86,CUST-0233
ORD-00150,2025-10-04,APAC,Mobile,Sports,Dumbbells,4,75.62,302.48,CUST-0225
ORD-00151,2025-09-04,APAC,Mobile,Books,Biography,3,22.25,66.75,CUST-0248
ORD-00152,2025-03-14,EU,Mobile,Home,Coffee Maker,8,102.50,820.00,CUST-0194
ORD-00153,2025-07-22,APAC,Mobile,Sports,Tennis Racket,6,105.25,631.50,CUST-0004
ORD-00154,2025-12-11,LATAM,Mobile,Electronics,Tablet,6,525.92,3155.52,CUST-0068
ORD-00155,2025-11-14,APAC,Mobile,Home,Coffee Maker,4,89.23,356.92,CUST-0227
ORD-00156,2025-06-04,LATAM,Online,Clothing,T-Shirt,8,28.07,224.56,CUST-0167
ORD-00157,2025-09-10,NA,Online,Clothing,T-Shirt,1,23.53,23.53,CUST-0030
ORD-00158,2025-12-10,LATAM,Mobile,Books,Cookbook,7,29.58,207.06,CUST-0244
ORD-00159,2025-11-12,APAC,Online,Clothing,Sneakers,2,104.51,209.02,CUST-0105
ORD-00160,2025-05-01,APAC,Online,Home,Vacuum,8,216.35,1730.80,CUST-0219
ORD-00161,2025-05-22,NA,In-Store,Home,Lamp,6,39.07,234.42,CUST-0049
ORD-00162,2025-01-26,APAC,Online,Electronics,Headphones,10,205.44,2054.40,CUST-0202
ORD-00163,2025-10-11,EU,Online,Clothing,Dress,4,95.76,383.04,CUST-0054
ORD-00164,2025-03-16,APAC,Online,Home,Vacuum,10,187.19,1871.90,CUST-0034
ORD-00165,2025-05-02,APAC,Online,Electronics,Laptop,3,1025.35,3076.05,CUST-0151
ORD-00166,2025-08-04,NA,Mobile,Clothing,Jacket,1,124.32,124.32,CUST-0135
ORD-00167,2025-09-20,NA,In-Store,Electronics,Tablet,8,541.70,4333.60,CUST-0152
ORD-00168,2025-12-04,APAC,In-Store,Books,Cookbook,10,25.89,258.90,CUST-0134
ORD-00169,2025-08-07,NA,In-Store,Electronics,Laptop,8,1325.03,10600.24,CUST-0176
ORD-00170,2025-03-17,EU,In-Store,Sports,Yoga Mat,2,37.87,75.74,CUST-0017
ORD-00171,2025-07-15,APAC,In-Store,Books,Children's Book,9,15.95,143.55,CUST-0153
ORD-00172,2025-12-26,EU,In-Store,Books,Children's Book,7,13.20,92.40,CUST-0030
ORD-00173,2025-08-21,LATAM,Mobile,Sports,Dumbbells,7,80.89,566.23,CUST-0103
ORD-00174,2025-05-11,EU,Mobile,Electronics,Smartphone,7,802.19,5615.33,CUST-0096
ORD-00175,2025-02-17,NA,Mobile,Sports,Yoga Mat,2,43.98,87.96,CUST-0111
ORD-00176,2025-10-15,APAC,Mobile,Home,Vacuum,9,190.96,1718.64,CUST-0144
ORD-00177,2025-08-05,NA,In-Store,Electronics,Tablet,6,556.04,3336.24,CUST-0223
ORD-00178,2025-09-17,EU,Mobile,Books,Biography,6,21.15,126.90,CUST-0055
ORD-00179,2025-10-12,NA,In-Store,Sports,Dumbbells,2,81.18,162.36,CUST-0095
ORD-00180,2025-11-15,NA,Mobile,Books,Cookbook,7,33.11,231.77,CUST-0158
ORD-00181,2025-06-08,APAC,In-Store,Home,Coffee Maker,3,83.88,251.64,CUST-0236
ORD-00182,2025-07-25,EU,Mobile,Electronics,Headphones,3,183.58,550.74,CUST-0018
ORD-00183,2025-08-03,APAC,Online,Electronics,Laptop,9,1097.45,9877.05,CUST-0117
ORD-00184,2025-10-18,NA,Online,Home,Bed Linen,6,81.23,487.38,CUST-0153
ORD-00185,2025-02-11,LATAM,Mobile,Clothing,Jeans,10,56.22,562.20,CUST-0070
ORD-00186,2025-05-20,NA,In-Store,Sports,Bicycle,10,638.70,6387.00,CUST-0056
ORD-00187,2025-10-31,APAC,Online,Sports,Yoga Mat,5,42.14,210.70,CUST-0125
ORD-00188,2025-04-15,EU,Online,Clothing,Sneakers,10,82.31,823.10,CUST-0078
ORD-00189,2025-09-12,LATAM,Online,Home,Bed Linen,6,66.45,398.70,CUST-0192
ORD-00190,2025-09-14,APAC,Online,Clothing,Sneakers,9,100.80,907.20,CUST-0144
ORD-00191,2025-02-09,APAC,Mobile,Sports,Yoga Mat,7,34.22,239.54,CUST-0221
ORD-00192,2025-08-02,NA,In-Store,Sports,Tennis Racket,7,127.54,892.78,CUST-0075
ORD-00193,2025-11-13,APAC,Online,Electronics,Smartphone,3,926.84,2780.52,CUST-0118
ORD-00194,2025-07-25,NA,In-Store,Sports,Yoga Mat,4,39.23,156.92,CUST-0135
ORD-00195,2025-03-28,NA,Mobile,Home,Bed Linen,4,71.24,284.96,CUST-0020
ORD-00196,2025-11-27,EU,Online,Books,Cookbook,6,28.66,171.96,CUST-0209
ORD-00197,2025-11-05,NA,Online,Electronics,Headphones,5,163.65,818.25,CUST-0040
ORD-00198,2025-08-18,APAC,Mobile,Sports,Bicycle,10,700.68,7006.80,CUST-0175
ORD-00199,2025-08-15,APAC,In-Store,Home,Vacuum,8,191.51,1532.08,CUST-0162
ORD-00200,2025-06-08,LATAM,Online,Books,Fiction Novel,6,18.04,108.24,CUST-0119
ORD-00201,2025-02-16,LATAM,In-Store,Electronics,Smartphone,5,742.07,3710.35,CUST-0158
ORD-00202,2025-10-20,EU,In-Store,Books,Children's Book,1,14.77,14.77,CUST-0167
ORD-00203,2025-02-01,NA,In-Store,Books,Textbook,9,76.10,684.90,CUST-0116
ORD-00204,2025-12-29,LATAM,Mobile,Electronics,Smartwatch,3,275.76,827.28,CUST-0113
ORD-00205,2025-05-25,LATAM,In-Store,Books,Children's Book,3,14.39,43.17,CUST-0100
ORD-00206,2025-02-18,LATAM,In-Store,Books,Fiction Novel,6,15.66,93.96,CUST-0143
ORD-00207,2025-10-26,EU,In-Store,Home,Lamp,3,42.75,128.25,CUST-0170
ORD-00208,2025-02-13,LATAM,Mobile,Home,Cookware Set,3,164.56,493.68,CUST-0080
ORD-00209,2025-12-10,APAC,Online,Home,Vacuum,9,193.17,1738.53,CUST-0109
ORD-00210,2025-06-24,LATAM,Online,Home,Bed Linen,3,85.15,255.45,CUST-0243
ORD-00211,2025-02-21,NA,Mobile,Clothing,Jeans,3,56.75,170.25,CUST-0130
ORD-00212,2025-03-20,EU,Mobile,Home,Lamp,3,46.31,138.93,CUST-0042
ORD-00213,2025-07-06,EU,In-Store,Books,Cookbook,8,25.89,207.12,CUST-0174
ORD-00214,2025-05-03,LATAM,Online,Books,Biography,8,22.08,176.64,CUST-0080
ORD-00215,2025-05-25,LATAM,Mobile,Home,Lamp,8,44.48,355.84,CUST-0200
ORD-00216,2025-11-06,APAC,Online,Books,Textbook,3,93.08,279.24,CUST-0036
ORD-00217,2025-12-31,NA,In-Store,Sports,Running Shoes,9,146.94,1322.46,CUST-0217
ORD-00218,2025-09-20,LATAM,Online,Electronics,Headphones,5,177.26,886.30,CUST-0038
ORD-00219,2025-08-01,LATAM,Mobile,Clothing,Sneakers,6,107.27,643.62,CUST-0014
ORD-00220,2025-07-11,NA,In-Store,Home,Vacuum,7,252.64,1768.48,CUST-0058
ORD-00221,2025-05-27,LATAM,Mobile,Electronics,Smartphone,3,757.59,2272.77,CUST-0235
ORD-00222,2025-02-10,APAC,Online,Clothing,Sneakers,8,98.29,786.32,CUST-0005
ORD-00223,2025-02-26,APAC,Online,Clothing,Dress,10,110.92,1109.20,CUST-0199
ORD-00224,2025-11-24,LATAM,Online,Home,Coffee Maker,1,82.94,82.94,CUST-0204
ORD-00225,2025-11-20,EU,Mobile,Electronics,Tablet,10,505.41,5054.10,CUST-0132
ORD-00226,2025-06-30,LATAM,Online,Clothing,Jacket,7,119.07,833.49,CUST-0062
ORD-00227,2025-09-27,NA,In-Store,Electronics,Smartwatch,6,278.50,1671.00,CUST-0140
ORD-00228,2025-05-10,NA,In-Store,Sports,Yoga Mat,7,45.77,320.39,CUST-0192
ORD-00229,2025-11-18,APAC,Online,Electronics,Smartphone,4,909.40,3637.60,CUST-0027
ORD-00230,2025-11-26,LATAM,Mobile,Electronics,Smartphone,9,808.83,7279.47,CUST-0045
ORD-00231,2025-08-23,APAC,Online,Sports,Dumbbells,3,73.86,221.58,CUST-0010
ORD-00232,2025-06-08,LATAM,Mobile,Electronics,Headphones,1,170.04,170.04,CUST-0132
ORD-00233,2025-04-08,APAC,Online,Sports,Running Shoes,1,139.88,139.88,CUST-0074
ORD-00234,2025-08-12,LATAM,Mobile,Home,Bed Linen,2,81.74,163.48,CUST-0228
ORD-00235,2025-09-12,LATAM,In-Store,Sports,Bicycle,6,742.38,4454.28,CUST-0178
ORD-00236,2025-02-10,EU,Mobile,Books,Biography,2,25.63,51.26,CUST-0111
ORD-00237,2025-12-05,APAC,In-Store,Home,Bed Linen,2,65.55,131.10,CUST-0076
ORD-00238,2025-06-29,NA,Mobile,Books,Textbook,3,89.84,269.52,CUST-0115
ORD-00239,2025-01-30,LATAM,In-Store,Home,Lamp,7,41.96,293.72,CUST-0020
ORD-00240,2025-11-08,LATAM,Online,Books,Cookbook,1,26.79,26.79,CUST-0174
ORD-00241,2025-07-07,LATAM,Mobile,Clothing,T-Shirt,4,27.09,108.36,CUST-0093
ORD-00242,2025-07-09,LATAM,Online,Electronics,Smartwatch,3,337.19,1011.57,CUST-0096
ORD-00243,2025-06-10,APAC,Online,Books,Cookbook,9,28.80,259.20,CUST-0167
ORD-00244,2025-07-18,NA,In-Store,Electronics,Laptop,3,1199.66,3598.98,CUST-0234
ORD-00245,2025-05-27,LATAM,Online,Home,Cookware Set,4,183.83,735.32,CUST-0178
ORD-00246,2025-08-16,APAC,Mobile,Electronics,Headphones,2,177.41,354.82,CUST-0023
ORD-00247,2025-06-03,EU,Mobile,Home,Coffee Maker,9,91.14,820.26,CUST-0218
ORD-00248,2025-04-13,EU,Online,Clothing,Jacket,9,128.42,1155.78,CUST-0203
ORD-00249,2025-07-08,EU,Mobile,Sports,Yoga Mat,6,40.65,243.90,CUST-0120
ORD-00250,2025-09-03,LATAM,In-Store,Electronics,Laptop,5,1163.34,5816.70,CUST-0135
ORD-00251,2025-11-25,LATAM,In-Store,Books,Fiction Novel,3,20.55,61.65,CUST-0019
ORD-00252,2025-10-10,EU,Online,Books,Biography,3,26.72,80.16,CUST-0164
ORD-00253,2025-09-23,APAC,Online,Sports,Tennis Racket,1,131.93,131.93,CUST-0040
ORD-00254,2025-09-23,APAC,Online,Clothing,Jacket,4,133.53,534.12,CUST-0230
ORD-00255,2025-11-17,NA,Mobile,Home,Vacuum,9,205.11,1845.99,CUST-0078
ORD-00256,2025-12-04,APAC,Mobile,Clothing,Dress,10,98.59,985.90,CUST-0160
ORD-00257,2025-11-25,APAC,Mobile,Electronics,Laptop,2,1036.37,2072.74,CUST-0198
ORD-00258,2025-01-16,APAC,Mobile,Clothing,Dress,7,113.90,797.30,CUST-0128
ORD-00259,2025-12-17,APAC,In-Store,Home,Cookware Set,4,174.63,698.52,CUST-0104
ORD-00260,2025-09-05,EU,In-Store,Electronics,Laptop,3,1178.26,3534.78,CUST-0119
ORD-00261,2025-06-13,APAC,In-Store,Books,Cookbook,6,33.25,199.50,CUST-0188
ORD-00262,2025-06-13,LATAM,Online,Clothing,Jacket,9,142.59,1283.31,CUST-0062
ORD-00263,2025-01-26,LATAM,Mobile,Home,Cookware Set,4,142.76,571.04,CUST-0075
ORD-00264,2025-10-23,APAC,Online,Sports,Dumbbells,3,92.99,278.97,CUST-0185
ORD-00265,2025-06-07,NA,Online,Clothing,Sneakers,9,94.05,846.45,CUST-0128
ORD-00266,2025-04-21,APAC,Online,Sports,Tennis Racket,8,136.80,1094.40,CUST-0150
ORD-00267,2025-12-01,LATAM,In-Store,Electronics,Smartphone,8,874.87,6998.96,CUST-0173
ORD-00268,2025-05-16,APAC,In-Store,Books,Fiction Novel,2,17.63,35.26,CUST-0187
ORD-00269,2025-10-15,APAC,Mobile,Home,Coffee Maker,7,77.88,545.16,CUST-0050
ORD-00270,2025-10-09,NA,Online,Home,Coffee Maker,7,90.11,630.77,CUST-0072
ORD-00271,2025-06-23,APAC,Online,Electronics,Tablet,6,544.23,3265.38,CUST-0143
ORD-00272,2025-01-21,NA,Online,Clothing,Dress,9,106.75,960.75,CUST-0012
ORD-00273,2025-11-07,EU,In-Store,Home,Cookware Set,9,157.94,1421.46,CUST-0229
ORD-00274,2025-11-12,APAC,Mobile,Books,Biography,3,23.23,69.69,CUST-0190
ORD-00275,2025-12-29,APAC,In-Store,Home,Lamp,9,45.44,408.96,CUST-0145
ORD-00276,2025-08-02,APAC,Mobile,Electronics,Smartphone,6,894.32,5365.92,CUST-0150
ORD-00277,2025-12-02,EU,Mobile,Electronics,Smartwatch,8,297.49,2379.92,CUST-0201
ORD-00278,2025-11-19,LATAM,Online,Electronics,Smartwatch,8,288.37,2306.96,CUST-0185
ORD-00279,2025-02-26,NA,In-Store,Clothing,T-Shirt,10,28.36,283.60,CUST-0049
ORD-00280,2025-04-15,LATAM,Mobile,Home,Cookware Set,3,155.82,467.46,CUST-0106
